what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1459999629040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1459999630709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1459999631832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999633267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999638790
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1459999638899
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1459999640287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1459999641239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999642331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999648118
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1459999648290
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1459999653922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1459999654733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999656870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999662377
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1459999662517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1459999664124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1459999664842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999666355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999672751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999679818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999681159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999683296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999683421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999684716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999684825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459999699873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004277572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004287634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004288040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004289147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004293484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004298258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004298554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004327601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460004341454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004347039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004361812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004365712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004368255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004374402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004376586
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460004380533
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460004380736
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460004389971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004436226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004436242
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460004440969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004446881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004446944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460004448441
