what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460611657989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612155801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612159592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612161917
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460612162057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460612180761
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460612277575
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1460612294548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612294564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612294907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612295921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612296030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612298573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612304735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1460612304766
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1460612338228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612338244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612339835
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460612341083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460612378679
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1460612619840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612619855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460612621166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460612622180
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460613921319
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1460614134758
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460614139314
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460614146302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460614408991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460614411238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460614428226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460615999133
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460616000444
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460616101360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460616105354
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460616129315
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460616129315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460616129331
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460616129986
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460616130127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460616244475
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460616245364
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460616266143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460616283257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460616300588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460616301883
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460616418540
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460616421785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460616426371
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460616427401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460616429101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460616432346
