what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1460420833780
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1460420833833
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1460420833999
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1460420834068
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1460420834138
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1460420834223
os,sysinfo,,,"win32",1460420834227
arch,sysinfo,,,"x86",1460420834227
ws,sysinfo,,,"win32",1460420834227
locale,sysinfo,,,"zh_CN",1460420834227
processors,sysinfo,,,"4",1460420834227
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1460420834227
java.runtime.version,sysinfo,,,"1.7.0-b147",1460420834227
java.specification.name,sysinfo,,,"Java Platform API Specification",1460420834227
java.specification.vendor,sysinfo,,,"Oracle Corporation",1460420834227
java.specification.version,sysinfo,,,"1.7",1460420834227
java.vendor,sysinfo,,,"Oracle Corporation",1460420834227
java.version,sysinfo,,,"1.7.0",1460420834227
java.vm.info,sysinfo,,,"mixed mode, sharing",1460420834227
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1460420834227
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1460420834227
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1460420834227
java.vm.specification.version,sysinfo,,,"1.7",1460420834227
java.vm.vendor,sysinfo,,,"Oracle Corporation",1460420834227
java.vm.version,sysinfo,,,"21.0-b17",1460420834227
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460420839438
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460420839525
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1460420843865
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1460420843954
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460420859756
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460420859856
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1460420860755
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1460420862026
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1460420862190
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460420865584
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460420865814
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460420865836
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460420870048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460420876901
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1460420877518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460420877939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460420887170
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460420893547
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460420893548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460420897941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421018350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421029683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421031602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421032132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421048177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421048504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421048598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421048988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421935354
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460421938546
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1460421939185
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1460421939189
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1460421939241
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1460421939252
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1460421939405
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1460421939408
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1460421939772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421943114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421952276
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460421952362
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460421952390
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460421960139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421962818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460421965446
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460421965509
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460421965535
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1460421968513
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1460421968563
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1460421968654
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1460421968696
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1460421968723
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1460421968794
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1460421968825
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1460421968972
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1460421968984
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1460421969217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1460421969366
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460422001590
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460422003581
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460422008102
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460422041196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460422152499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460422171544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460422196172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460422232374
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460422271665
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460422273811
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460422273861
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1460422273873
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460422274504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1460422349976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460422399354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460422431356
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460422432865
