what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459301944214
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1459301961724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459301979804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302010536
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1459302013141
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459302032735
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1459302045904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302050616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302080771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302108227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302109334
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459302112735
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1459302125967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.contextInformation",1459302140974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1459302141676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302182517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302183640
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1459302185543
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1459302214553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459302293676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459302337107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302350289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302356357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459302500392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459303402292
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1459303402308
